distance,dB,speed,,station,code,station distance
7960,26.2,17.8,,,,
7970,28.2,22.7,,,,
7980,32,28.1,,,,
7990,36.6,31.9,,,,
8000,41.8,37.7,,,,
8010,43.9,39,,,,
8020,45.4,40.2,,,,
8030,45.8,41.3,,,,
8040,46.1,42.4,,,,
8050,47,43.2,,,,
8060,49.5,44.3,,,,
8070,51.7,45.1,,,,
8080,52.4,45.8,,,,
8090,53.1,46.4,,,,
8100,53.6,46.7,,,,
8110,54.6,47.5,,,,
8120,55.5,48.1,,,,
8130,56,48.4,,,,
8140,55.1,48.4,,,,
8150,53.8,48.8,,,,
8160,52.2,49.2,,,,
8170,50.9,49.2,,,,
8180,49.7,49.6,,,,
8190,48.8,49.9,,,,
8200,48.2,50.3,,,,
8210,49.7,50.5,,,,
8220,51.7,50.7,,,,
8230,53.1,50.9,,,,
8240,54.1,51.1,,,,
8250,54.5,51.1,,,,
8260,54,51.3,,,,
8270,53.4,51.4,,,,
8280,52.6,51.4,,,,
8290,51.6,51.4,,,,
8300,50.7,51.4,,,,
8310,51.1,51.1,,,,
8320,52.2,50.7,,,,
8330,53.6,50.1,,,,
8340,54.1,49.6,,,,
8350,54.8,49,,,,
8360,56.2,48.6,,,,
8370,56.5,48.1,,,,
8380,56.7,47.9,,,,
8390,56.2,47.7,,,,
8400,54.5,47.5,,,,
8410,53.1,47.3,,,,
8420,51.6,46.9,,,,
8430,51.4,46.4,,,,
8440,52.6,45.4,,,,
8450,53.3,43.7,,,,
8460,52.9,41.1,,,,
8470,51.6,38.5,,,,
8480,50,35.3,,,,
8490,49,31.9,,,,
8500,48,28.7,,,,
8510,45.4,25.7,,,,
8520,41.7,21.7,,,,
8530,37.1,18.3,,,,
8540,30.6,15.5,,,,
8550,24.6,0,,,,
8560,24.4,13.1,,,,
8570,28.4,16.1,,,,
8580,30.6,17.2,,,,
8590,29.6,22.5,,,,
8600,30.9,27.4,,,,
8610,35.4,31.7,,,,
8620,40.1,35.1,,,,
8630,43.2,38.3,,,,
8640,45.4,41.1,,,,
8650,46.4,44.3,,,,
8660,47.6,46.9,,,,
8670,47.3,49.2,,,,
8680,46.6,51.4,,,,
8690,47.1,54.1,,,,
8700,47,56.5,,,,
8710,46.6,58.2,,,,
8720,46.6,60.1,,,,
8730,48,61.8,,,,
8740,50.9,63.5,,,,
8750,53.4,65.2,,,,
8760,55.7,66.7,,,,
8770,56.9,68.2,,,,
8780,57.5,69.7,,,,
8790,59.4,70.8,,,,
8800,62.3,72.3,,,,
8810,64,73.5,,,,
8820,63.8,74.4,,,,
8830,63,75.5,,,,
8840,62.1,76.5,,,,
8850,61.5,77.2,,,,
8860,62.3,78,,,,
8870,64.2,78.7,,,,
8880,66.4,79.1,,,,
8890,69.1,79.7,,,,
8900,70.8,80.2,,,,
8910,71.2,80.4,,,,
8920,71.2,80.8,,,,
8930,70.5,81,,,,
8940,69.6,80.8,,,,
8950,69,80.8,,,,
8960,68.6,80.6,,,,
8970,69,80.4,,,,
8980,69.5,80.1,,,,
8990,69.1,80.1,,,,
9000,68.8,79.7,,,,
9010,68.1,79.3,,,,
9020,67.1,79.1,,,,
9030,66.6,78.7,,,,
9040,66.9,78.4,,,,
9050,67.4,77.8,,,,
9060,68.1,77.2,,,,
9070,69.1,76.7,,,,
9080,69.6,76.1,,,,
9090,70.3,75.5,,,,
9100,70.5,75,,,,
9110,70.3,74.2,,,,
9120,70.8,73.5,,,,
9130,71.7,73.1,,,,
9140,71.5,72.3,,,,
9150,70.8,71.6,,,,
9160,69.3,71.2,,,,
9170,67.8,71,,,,
9180,67.1,71,,,,
9190,67.3,71.2,,,,
9200,66.7,71.4,,,,
9210,66.2,71.8,,,,
9220,66.1,72,,,,
9230,66.2,72,,,,
9240,66.4,71.8,,,,
9250,66.4,71.6,,,,
9260,65.9,71,,,,
9270,65.2,70.6,,,,
9280,64.9,70.3,,,,
9290,64.7,69.9,,,,
9300,65.4,69.9,,,,
9310,66.9,70.1,,,,
9320,69.5,70.3,,,,
9330,71.9,70.6,,,,
9340,74.1,70.8,,,,
9350,75.6,70.8,,,,
9360,75.4,71,,,,
9370,75.1,71,,,,
9380,74.1,70.8,,,,
9390,72.7,70.8,,,,
9400,71,70.8,,,,
9410,70,70.6,,,,
9420,69.5,70.6,,,,
9430,69.3,70.5,,,,
9440,69.3,70.5,,,,
9450,69.1,70.3,,,,
9460,69.1,70.3,,,,
9470,68.6,70.1,,,,
9480,68.3,70.1,,,,
9490,67.9,69.9,,,,
9500,67.8,69.9,,,,
9510,69,69.7,,,,
