distance,dB,speed,,station,code,station distance
14668.462,76.69,26.2,,,,
14684.073,75.09,27.8,,,,
14699.768,75.81,28.4,,,,
14715.768,78.32,28.1,,,,
14731.99,78.72,29.5,,,,
14747.823,76.93,28.9,,,,
14763.768,75.22,28.1,,,,
14779.934,74.99,29.3,,,,
14795.74,77.24,28.9,,,,
14811.656,77.99,28,,,,
14827.879,75.9,29.3,,,,
14843.823,74.16,29.1,,,,
14859.712,77.22,28.3,,,,
14875.906,72.84,28.9,,,,
14891.712,73.46,29.4,,,,
14906.268,68.57,27.5,,,,
14919.101,66.94,24.9,,,,
14930.129,66.34,21.3,,,,
14939.684,65.58,18.4,,,,
14948.045,64.78,16,,,,
14955.49,64.32,14.1,,,,
14962.018,63.96,12.7,,,,
14967.601,62.94,10.8,,,,
14972.268,62.56,9.3,,,,
14975.823,62.52,7.5,,,,
14978.156,62.73,5.3,,,,
14979.406,62.6,3.1,,,,
14983.077,70.97,1.4,,,,
14983.077,69.35,0,,,,
14983.077,64.96,0,,,,
14983.077,64.69,0,,,,
14983.077,64.4,0,,,,
14983.077,64.43,0,,,,
14983.077,65,0,,,,
